Year,Mean_Budget_Millions,Genre
2007,110.27777777777777,Action
2008,75.84375,Action
2009,77.88571428571429,Action
2010,79.73684210526316,Action
2011,92.41935483870968,Action
2007,110.0,Adventure
2008,58.36363636363637,Adventure
2009,81.125,Adventure
2010,95.33333333333333,Adventure
2011,140.0,Adventure
2007,45.13636363636363,Comedy
2008,37.1219512195122,Comedy
2009,30.390243902439025,Comedy
2010,34.05128205128205,Comedy
2011,38.689655172413794,Comedy
2007,21.666666666666668,Drama
2008,22.57894736842105,Drama
2009,31.818181818181817,Drama
2010,31.76,Drama
2011,27.391304347826086,Drama
2007,20.666666666666668,Horror
2008,14.6,Horror
2009,22.22222222222222,Horror
2010,18.5,Horror
2011,29.384615384615383,Horror
2007,26.4,Romance
2008,32.736363636363635,Romance
2009,60.0,Romance
2010,5.0,Romance
2011,39.54545454545455,Romance
2007,72.27272727272727,Thriller
2008,62.22222222222222,Thriller
2009,57.4273088023088,Thriller
2010,60.0,Thriller
2011,35.214285714285715,Thriller
